"","x"
"1",22.7767272727273
"2",25.4641818181818
"3",15.0901818181818
"4",11.9207272727273
"5",15.6009090909091
"6",20.7745454545454
"7",16.5667272727273
"8",24.0889090909091
"9",15.9176363636364
"10",11.8867272727273
"11",13.5765454545455
"12",20.0047272727273
"13",15.0005454545455
"14",14.3409090909091
"15",18.3169090909091
"16",21.656
"17",20.1096363636364
"18",10.8289090909091
"19",26.3945454545454
"20",18.1801818181818
"21",13.1987272727273
"22",21.414
"23",23.6387272727273
"24",12.5756363636364
"25",23.8701818181818
"26",22.9585454545455
"27",15.826
"28",17.0221818181818
"29",18.7507272727273
"30",24.8309090909091
"31",19.5661818181818
"32",24.352
"33",11.1049090909091
"34",14.4487272727273
"35",24.6067272727273
"36",26.0396363636364
"37",22.9421818181818
"38",16.1367272727273
"39",17.8569090909091
"40",18.7967272727273
"41",9.28563636363636
"42",16.0621818181818
"43",17.3685454545454
"44",14.4289090909091
"45",14.2747272727273
"46",18.05
"47",23.0761818181818
"48",15.8921818181818
"49",22.0889090909091
"50",20.8945454545455
"51",18.1845454545454
"52",16.5096363636364
"53",14.6541818181818
"54",23.4741818181818
"55",26.172
"56",23.1387272727273
"57",16.126
"58",18.4356363636364
"59",14.2249090909091
"60",19.6805454545454
"61",18.1856363636364
"62",12.8067272727273
"63",19.1249090909091
"64",13.4849090909091
"65",15.1821818181818
"66",17.2436363636364
"67",9.474
"68",14.586
"69",18.3536363636364
"70",11.486
"71",13.4136363636364
"72",19.0705454545454
"73",17.4765454545455
"74",20.1069090909091
"75",9.49890909090909
"76",28.1347272727273
"77",18.7749090909091
"78",13.1245454545455
"79",26.3387272727273
"80",25.3145454545454
"81",17.4581818181818
"82",13.1061818181818
"83",29.5787272727273
"84",28.6849090909091
"85",13.7541818181818
"86",20.8287272727273
"87",25.8069090909091
"88",22.8049090909091
"89",22.9685454545454
"90",22.886
"91",18.2581818181818
"92",17.8385454545455
"93",11.8829090909091
"94",17.932
"95",16.9349090909091
"96",20.6256363636364
"97",22.788
"98",16.5329090909091
"99",24.5221818181818
"100",11.9681818181818
"101",17.2376363636364
"102",19.8629090909091
"103",19.8996363636364
"104",17.0047272727273
"105",17.9136363636364
"106",18.1189090909091
"107",19.4465454545455
"108",19.4949090909091
"109",20.4285454545454
"110",23.4576363636364
"111",13.016
"112",25.1385454545454
"113",20.4067272727273
"114",24.1189090909091
"115",18.1796363636364
"116",15.3876363636364
"117",18.0341818181818
"118",16.87
"119",12.178
"120",12.5456363636364
"121",19.224
"122",20.1689090909091
"123",21.2607272727273
"124",15.4036363636364
"125",21.9856363636364
"126",24.742
"127",21.6676363636364
"128",22.2001818181818
"129",19.9821818181818
"130",11.4356363636364
"131",12.9061818181818
"132",15.1656363636364
"133",13.4367272727273
"134",27.6941818181818
"135",21.8329090909091
"136",14.9467272727273
"137",16.3185454545455
"138",17.2481818181818
"139",30.1496363636364
"140",18.95
"141",27.0709090909091
"142",16.3976363636364
"143",19.2067272727273
"144",13.3689090909091
"145",18.2421818181818
"146",12.1809090909091
"147",10.946
"148",15.9969090909091
"149",13.7136363636364
"150",11.6701818181818
"151",25.1696363636364
"152",17.7029090909091
"153",22.9405454545455
"154",23.4445454545454
"155",20.5841818181818
"156",18.0729090909091
"157",17.4336363636364
"158",19.6245454545454
"159",13.3069090909091
"160",22.1945454545454
"161",18.4416363636364
"162",20.4601818181818
"163",11.5529090909091
"164",9.64090909090909
"165",22.3396363636364
"166",18.7501818181818
"167",17.644
"168",19.0885454545455
"169",27.7025454545454
"170",20.2847272727273
"171",21.6067272727273
"172",21.8161818181818
"173",14.1341818181818
"174",15.4605454545454
"175",17.4101818181818
"176",29.0389090909091
"177",16.8581818181818
"178",18.0901818181818
"179",9.04254545454545
"180",23.6661818181818
"181",17.2029090909091
"182",15.6427272727273
"183",17.064
"184",13.6105454545455
"185",11.4989090909091
"186",21.0947272727273
"187",21.0021818181818
"188",13.7209090909091
"189",19.7785454545455
"190",17.8129090909091
"191",12.9796363636364
"192",15.1216363636364
"193",17.066
"194",28.8901818181818
"195",14.6116363636364
"196",22.4901818181818
"197",15.2785454545455
"198",21.6525454545454
"199",17.2056363636364
"200",14.6767272727273
"201",15.7769090909091
"202",13.5596363636364
"203",7.59018181818182
"204",10.6365454545455
"205",17.3927272727273
"206",22.8081818181818
"207",12.4347272727273
"208",16.1
"209",18.3856363636364
"210",16.9481818181818
"211",12.8025454545455
"212",11.2069090909091
"213",27.052
"214",24.498
"215",27.2936363636364
"216",26.0809090909091
"217",17.9529090909091
"218",15.6276363636364
"219",19.3256363636364
"220",11.3947272727273
"221",17.1427272727273
"222",15.7969090909091
"223",14.4676363636364
"224",16.8361818181818
"225",26.5216363636364
