"","x"
"1",23.0705454545454
"2",11.034
"3",18.1449090909091
"4",16.5736363636364
"5",16.0656363636364
"6",27.2845454545454
"7",16.0087272727273
"8",19.7656363636364
"9",19.5447272727273
"10",17.2021818181818
"11",23.3601818181818
"12",18.8956363636364
"13",23.6687272727273
"14",12.8569090909091
"15",12.1381818181818
"16",10.1529090909091
"17",22.3829090909091
"18",19.4927272727273
"19",16.8121818181818
"20",12.7805454545455
"21",24.2985454545454
"22",15.3136363636364
"23",21.01
"24",27.02
"25",22.5616363636364
"26",10.9589090909091
"27",18.6
"28",12.6525454545455
"29",17.8021818181818
"30",21.7569090909091
"31",22.8029090909091
"32",24.7945454545454
"33",17.6829090909091
"34",19.3307272727273
"35",10.8349090909091
"36",14.7196363636364
"37",17.4327272727273
"38",21.4287272727273
"39",16.0229090909091
"40",19.7221818181818
"41",21.7265454545454
"42",17.0565454545455
"43",36.5765454545454
"44",7.38018181818182
"45",14.7447272727273
"46",13.6849090909091
"47",14.5629090909091
"48",16.5976363636364
"49",23.186
"50",22.4356363636364
"51",23.3807272727273
"52",20.8149090909091
"53",14.5956363636364
"54",21.1405454545454
"55",24.5909090909091
"56",16.2207272727273
"57",20.2421818181818
"58",14.5485454545455
"59",25.3645454545454
"60",20.5167272727273
"61",14.4961818181818
"62",17.9029090909091
"63",18.3789090909091
"64",18.2601818181818
"65",22.8281818181818
"66",22.6285454545454
"67",18.1667272727273
"68",20.4427272727273
"69",25.2261818181818
"70",17.3
"71",10.316
"72",15.604
"73",16.1605454545454
"74",23.7167272727273
"75",24.9707272727273
"76",19.7585454545454
"77",18.7025454545454
"78",16.9987272727273
"79",18.9067272727273
"80",8.93472727272727
"81",13.7265454545455
"82",18.2729090909091
"83",20.1701818181818
"84",19.4241818181818
"85",17.6167272727273
"86",20.1069090909091
"87",7.85818181818182
"88",21.9956363636364
"89",17.1861818181818
"90",20.0305454545455
"91",23.4716363636364
"92",11.8167272727273
"93",20.1067272727273
"94",19.7881818181818
"95",15.4536363636364
"96",19.7416363636364
"97",8.84654545454545
"98",13.018
"99",23.696
"100",20.8501818181818
"101",17.9421818181818
"102",22.8196363636364
"103",27.6749090909091
"104",20.6196363636364
"105",8.99218181818181
"106",15.5981818181818
"107",12.1525454545455
"108",18.5409090909091
"109",19.6096363636364
"110",22.9089090909091
"111",14.4207272727273
"112",10.0509090909091
"113",22.3687272727273
"114",16.5756363636364
"115",17.7129090909091
"116",27.3585454545454
"117",27.9336363636364
"118",13.3705454545455
"119",23.5985454545454
"120",26.0529090909091
"121",22.7165454545455
"122",24.1567272727273
"123",20.6627272727273
"124",18.1221818181818
"125",16.5861818181818
"126",22.0341818181818
"127",13.7801818181818
"128",17.9581818181818
"129",10.5785454545455
"130",16.1201818181818
"131",21.6601818181818
"132",19.3141818181818
"133",17.4009090909091
"134",15.9267272727273
"135",21.3649090909091
"136",14.3596363636364
