WELLID,UNION,VILLAGE,LATITUDE ,LONGITUDE,DEPTH-FT,YEAR,KIT-COLOR,ARSENIC
1370,Brahmandi,Laskardi,,90.60293,45,,Green,10
1376,Brahmandi,Laskardi,,90.60273,40,1997,Green,1
1378,Brahmandi,Laskardi,,90.60323,45,1994,Green,25
1381,Brahmandi,Laskardi,,90.60262,55,1994,Green,44
1393,Brahmandi,Laskardi,,90.60218,45,1999,Green,4
1430,Brahmandi,Pajardia,,90.60359,36,1999,Red,89
1494,Duptara,Monohar,,90.62177,60,1993,Green,44
1496,Duptara,Monohar,,90.62187,60,1999,Green,46
1505,Duptara,Monohar,,90.62336,75,1992,Green,27
1506,Duptara,Monohar,,90.62338,75,1992,Green,24
1507,Duptara,Monohar,,90.6234,75,1995,Green,24
1584,Araihazar,Lakhupura,,90.63671,70,1990,Red,114
1604,Brahmandi,Choto Binarchar,,90.63236,45,1999,Red,201
1621,Brahmandi,Chota Binarchar,,90.6356,60,1998,Red,265
1645,Brahmandi,Chota Binarchar,,90.63658,45,1990,Red,287
1646,Brahmandi,Chota Binarchar,,90.63707,70,1995,Red,229
1652,Brahmandi,Chota Binarchar,,90.63725,60,1996,Red,195
1712,Brahmandi,Digaldi,,90.62924,75,1995,Green,28
1716,Brahmandi,Digaldi,,90.62947,37,1987,Green,15
1717,Brahmandi,Digaldi,,90.62951,45,1996,Green,25
1718,Brahmandi,Digaldi,,90.62984,52,1990,Red,144
1719,Brahmandi,Digaldi,,90.62966,50,1991,Green,14
1802,Brahmandi,Dhar Maruadi,,90.63119,36,1998,Green,27
1836,Brahmandi,Dhar Maruadi,,90.63261,40,1994,Red,229
1843,Brahmandi,Dhar Maruadi,,90.63071,35,1999,Green,61
1847,Brahmandi,Brahmandi,,90.63539,45,1999,Red,269
1848,Brahmandi,Brahmandi,,90.63567,60,1995,Red,241
1861,Brahmandi,Brahmandi,,90.63603,90,1998,Red,544
1863,Brahmandi,Dhar Maruadi,,90.6298,45,1999,Green,36
1916,Brahmandi,Maruadi,,90.62962,40,2001,Green,18
1917,Brahmandi,Maruadi,,90.62967,60,1999,Green,5
1918,Brahmandi,Maruadi,,90.62964,45,1992,Green,25
1919,Brahmandi,Maruadi,,90.62956,55,1973,Red,109
1920,Brahmandi,Maruadi,,90.62951,45,1999,Green,28
2047,Brahmandi,Fausa,,90.62465,50,1996,Green,17
2048,Brahmandi,Fausa,,90.6246,46,2000,Green,51
2078,Brahmandi,Fausa,,90.62172,45,1978,Red,65
2129,Brahmandi,Silmandi,,90.61947,45,1994,Green,39
2219,Brahmandi,Edbardi,,90.61206,200,1997,Green,1
2220,Brahmandi,Edbardi,,90.61209,160,1995,Red,231
2223,Brahmandi,Edbardi,,90.61205,60,1990,Red,225
2224,Brahmandi,Edbardi,,90.61228,50,1999,Green,36
2225,Brahmandi,Edbardi,,90.6121,80,1988,Red,89
2228,Brahmandi,Edbardi,,90.61138,50,,Red,99
2229,Brahmandi,Edbardi,,90.61147,35,1993,Red,126
2230,Brahmandi,Edbardi,,90.61121,50,1973,Red,154
2232,Brahmandi,Edbardi,,90.61094,60,1992,Red,128
2290,Brahmandi,Edbardi,,90.61055,45,1995,Red,129
2505,Brahmandi,Ujan Gobindi,,90.61878,45,1983,Green,153
2506,Brahmandi,Ujan Gobindi,,90.61879,45,1998,Red,142
2509,Brahmandi,Ujan Gobindi,,90.61905,50,1997,Green,201
2510,Brahmandi,Ujan Gobindi,,90.61904,60,1973,Green,156
2642,Brahmandi,Ujan  Gobindi,,90.62636,50,1997,Red,202
2646,Brahmandi,Ujan  Gobindi,,90.62604,50,1993,Green,92
2647,Brahmandi,Ujan  Gobindi,,90.62589,50,1995,Green,81
2659,Brahmandi,Ujan  Gobindi,,90.6259,50,1995,Green,42
2670,Brahmandi,Ujan  Gobindi,,90.62655,55,1993,Red,114
2671,Brahmandi,Ujan  Gobindi,,90.62677,60,1993,Red,216
2673,Brahmandi,Ujan  Gobindi,,90.62676,50,1993,Red,150
